Estimator,p,Î·,Mean Acc,SD Acc
emcee_mean,9,0.01,0.599,0.04825971404805462
emcee_posterior_vote,5,0.01,0.5920000000000001,0.03994996871087635
emcee_posterior_mean,5,0.01,0.591,0.04323193264243455
emcee_posterior_vote,4,0.01,0.59,0.055317266743757317
emcee_posterior_mean,1,0.01,0.589,0.053000000000000005
emcee_mean,4,0.01,0.588,0.05878775382679626
emcee_mode,1,0.01,0.587,0.051584881506115725
emcee_posterior_vote,1,0.01,0.5860000000000001,0.05295280917949491
emcee_posterior_mean,8,0.01,0.5850000000000001,0.032939338184001195
emcee_median,1,0.01,0.585,0.04964876634922563
emcee_mean,2,0.01,0.585,0.03354101966249684
emcee_posterior_vote,8,0.01,0.5830000000000001,0.036345563690772485
emcee_posterior_vote,2,0.01,0.5830000000000001,0.04648655719667784
emcee_posterior_mean,6,0.01,0.583,0.03287856444554718
emcee_median,8,0.01,0.5820000000000001,0.058103356185335804
emcee_posterior_mean,4,0.01,0.582,0.05793099343184095
emcee_posterior_mean,10,0.01,0.5810000000000001,0.03884584919911006
emcee_posterior_vote,10,0.01,0.581,0.04369210454990696
emcee_mean,1,0.01,0.581,0.049081564767232105
emcee_posterior_mean,2,0.01,0.58,0.0513809303146605
emcee_posterior_vote,7,0.01,0.58,0.04171330722922842
emcee_posterior_vote,6,0.01,0.58,0.032863353450309954
emcee_mean,8,0.01,0.579,0.04763402145525822
emcee_posterior_vote,9,0.01,0.579,0.01699999999999999
emcee_posterior_vote,3,0.01,0.5780000000000001,0.035721142198983494
emcee_posterior_mean,3,0.01,0.5780000000000001,0.03867815921162743
emcee_mean,3,0.01,0.576,0.026153393661244025
emcee_mean,5,0.01,0.5750000000000002,0.04477722635447621
emcee_posterior_mean,9,0.01,0.575,0.024999999999999988
emcee_posterior_mean,7,0.01,0.573,0.04313930922024598
emcee_mean,10,0.01,0.5720000000000001,0.041182520563948
emcee_median,7,0.01,0.572,0.04749736834815167
emcee_median,5,0.01,0.5690000000000001,0.05593746508378798
emcee_mean,6,0.01,0.567,0.03377869150810906
emcee_median,2,0.01,0.5660000000000001,0.028354893757515626
emcee_mean,7,0.01,0.5630000000000001,0.033481338085566394
emcee_median,6,0.01,0.563,0.04001249804748511
emcee_mode,5,0.01,0.562,0.04467661580737735
emcee_mode,2,0.01,0.5609999999999999,0.029478805945967326
emcee_mode,4,0.01,0.56,0.05272570530585626
emcee_mode,6,0.01,0.5589999999999999,0.038327535793473595
emcee_mode,3,0.01,0.557,0.05404627646748664
emcee_median,4,0.01,0.5549999999999999,0.056258332716140814
emcee_median,3,0.01,0.5549999999999999,0.06119640512317697
emcee_mode,8,0.01,0.5469999999999999,0.07537240874484508
emcee_median,9,0.01,0.538,0.06305553108173778
emcee_mode,7,0.01,0.525,0.07927799190191437
emcee_median,10,0.01,0.524,0.08284926070883192
emcee_mode,9,0.01,0.522,0.09228217596047461
emcee_mode,10,0.01,0.522,0.07359347797189639
emcee_mean+log,10,0.01,0.599,0.033
emcee_mean+log,4,0.01,0.5970000000000001,0.04405678154382137
emcee_mean+log,5,0.01,0.595,0.03694590640382234
emcee_mode+log,10,0.01,0.591,0.032695565448543615
emcee_median+log,9,0.01,0.5890000000000001,0.043920382511995495
emcee_median+log,5,0.01,0.589,0.03534119409414458
emcee_mean+log,9,0.01,0.588,0.05741080037762931
emcee_median+log,10,0.01,0.587,0.03522782990761707
emcee_mean+log,6,0.01,0.5840000000000001,0.0463033476111609
emcee_mean+log,2,0.01,0.5839999999999999,0.04476605857119878
emcee_mean+log,7,0.01,0.5820000000000001,0.03370459909270542
emcee_median+log,8,0.01,0.5820000000000001,0.04995998398718719
emcee_mean+log,8,0.01,0.5760000000000001,0.031048349392520023
emcee_median+log,7,0.01,0.575,0.029410882339705464
emcee_mode+log,1,0.01,0.5740000000000001,0.042708313008125234
emcee_mean+log,3,0.01,0.5740000000000001,0.02615339366124402
emcee_mean+log,1,0.01,0.5720000000000001,0.04399999999999999
emcee_median+log,1,0.01,0.571,0.04346262762420146
emcee_median+log,3,0.01,0.568,0.03599999999999999
emcee_mode+log,7,0.01,0.567,0.03579106033634654
emcee_mode+log,4,0.01,0.567,0.049406477308142495
emcee_mode+log,5,0.01,0.566,0.029051678092667878
emcee_mode+log,8,0.01,0.563,0.047339201514178496
emcee_mode+log,3,0.01,0.561,0.03618010503025108
emcee_median+log,6,0.01,0.5599999999999999,0.029999999999999978
emcee_mode+log,2,0.01,0.5599999999999998,0.04472135954999579
emcee_mode+log,6,0.01,0.5589999999999999,0.037
emcee_median+log,2,0.01,0.5589999999999999,0.023853720883753104
emcee_median+log,4,0.01,0.554,0.057654141221598294
emcee_mode+log,9,0.01,0.554,0.03231098884280701
